g__Acidaminococcus,g__Akkermansia,g__Alistipes,g__Anaerostipes,g__Anaerotruncus,g__Bacteroides,g__Bifidobacterium,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Catenibacterium,g__cc_115,g__Cloacibacillus,g__Clostridium,g__Collinsella,g__Coprococcus,g__Defluviitalea,g__Dialister,g__Dorea,g__Eggerthella,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Fusobacterium,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Megasphaera,g__Mogibacterium,g__Odoribacter,g__Oscillospira,g__Parabacteroides,g__Paraprevotella,g__Phascolarctobacterium,g__Prevotella,g__Roseburia,g__Ruminococcus,g__Streptococcus,g__Succinivibrio,g__Sutterella,g__Turicibacter,g__un_f__Barnesiellaceae,g__un_f__Christensenellaceae,g__un_f__Coriobacteriaceae,g__un_f__Erysipelotrichaceae,g__un_f__Lachnospiraceae,g__un_f__Mogibacteriaceae,g__un_f__Prevotellaceae,g__un_f__Rikenellaceae,g__un_f__Ruminococcaceae,g__un_f__S24-7,g__un_f__Victivallaceae,g__un_o__Bacteroidales,g__un_o__Clostridiales,g__un_o__ML615J-28,g__un_o__RF32,g__un_o__RF39,g__un_o__Streptophyta,g__un_o__YS2,g__un_p__Bacteroidetes,Group
0,5.09268690160929e-05,0.0036158077001426,0.00122224485638623,5.09268690160929e-05,0.17009574251375,0,0.00229170910572418,0.00682420044815645,0.00590751680586678,0,0,0,0.0230698716642901,0.00234263597474027,0.0552556528824608,0,0.0245467508657568,0.000203707476064372,0,0,0.00331024648604604,0.000967610511305765,0.0319311468730902,0.000203707476064372,0,0.00662049297209208,5.09268690160929e-05,0.0116113261356692,0,0.00280097779588511,0.0498574047667549,0.0158382562640049,0,0.020268893868405,0.112548380525565,0.0284171929109798,0.0294357302913017,0.000152780607048279,0,0.0126807903850071,0,0.020829089427582,0.00168058667753107,0.000101853738032186,0.00259727031982074,0.0331024648604604,0.00117131798737014,0,0.0610103890812793,0.0857099205540843,0,0,0,0.0752699124057853,0,0,0.0772560602974129,0,0,5.09268690160929e-05,CRC
0,0,0.000305561214096557,0.000305561214096557,0,0.16240578529232,0,0.000254634345080464,0.00147687920146669,5.09268690160929e-05,0,0,0,0.00305561214096557,0.00157873293949888,0.00468527194948055,0,0.0321857812181707,0.00392136891423915,0,0,0.0203707476064372,0.000611122428193115,0.0355469545732328,0.00112039111835404,0.000152780607048279,0.0115603992666531,0,0,0,0.000407414952128743,0.00397229578325525,0.00692605418618863,0,0.0166530861682624,0.538144224893054,0.0708392748013852,0.00656956610307598,0.00168058667753107,0,0.0259217763291913,0.000152780607048279,0,0,0,0.00636585862701161,0.0222550417600326,0,0,0.000662049297209208,0.000865756773273579,0,0,0,0.000611122428193115,0,0,0,0,0,0,Normal
0,0,0.000305561214096557,0.00779181095946221,5.09268690160929e-05,0.0932470971684661,0,0.00183336728457934,0.000865756773273579,0.00035648808311265,0,0,0,0.000865756773273579,0.000763903035241393,0.0188938684049705,0.000101853738032186,0,0.00035648808311265,0,0,0.00162965980851497,0,0.0889183133020982,0,0.00371766143817478,0.0282644123039316,0,0,0,0.00122224485638623,0.00779181095946221,0.00336117335506213,0.0280097779588511,0.0250560195559177,0.575881034833978,0.0335608066816052,0.00600937054389896,0.000254634345080464,0,0.0114076186596048,0,0.000203707476064372,5.09268690160929e-05,0,0.00443063760440008,0.0292320228152373,0.000407414952128743,0.000458341821144836,0.00290283153391729,0.00667141984110817,0.00998166632715421,0,0,0.00295375840293339,0,0,0.000407414952128743,0,0,0,Normal
0,0,5.09268690160929e-05,5.09268690160929e-05,0.000509268690160929,0.587492360969648,0,0.00198614789162762,0.00412507639030352,0.00106946424933795,0,0,0,0.000814829904257486,0,0.00122224485638623,0.000152780607048279,0.00101853738032186,0.000407414952128743,0,0,0.0043287838663679,0.000203707476064372,0.0429313505805663,0.00972703198207374,0,0.052607455693624,0,0,0,0.00127317172540232,0.009319617029945,0.0327459767773477,0.0678855163984518,0.0530657975147688,5.09268690160929e-05,0.00830107964962314,0.00514361377062538,0.000203707476064372,0,0.023018944795274,0.000203707476064372,0,0,0,0,0.0807190873905072,0.000152780607048279,0,0.00239356284375637,0.00269912405785292,0,0,0,0.00239356284375637,0,0,0,0.000865756773273579,0,0,Normal
0,5.09268690160929e-05,0.000101853738032186,0.000305561214096557,5.09268690160929e-05,0.519912405785292,0,0.00748624974536565,0.00682420044815645,0.00127317172540232,0,0,0,0.000662049297209208,0.000560195559177022,0.00331024648604604,0,0,0.00157873293949888,5.09268690160929e-05,0,0.00677327357914035,0.000101853738032186,0.0535750662049297,0,0,0.0228152373192096,0,0.000203707476064372,0,0.00437971073538399,0.0132409859441842,0.0185883071908739,0,0.0273477286616419,0,0.0932980240374822,0.00437971073538399,0.000305561214096557,0,0.0723161540028519,0,0.00203707476064372,5.09268690160929e-05,0,0.00687512731717254,0.112599307394581,0.000101853738032186,0,0.00606029741291505,0.00901405581584844,0,0,0,0.00137502546343451,0,0,0,0,0,0,Normal
0,0,0,0.000458341821144836,0,0.614534528417193,0,0.0035648808311265,0.00814829904257486,0,0,0,0,0.00896312894683235,0,0.00198614789162762,0,0.000560195559177022,0.0057547361988185,0.000101853738032186,0.0007129761662253,0.00560195559177022,0.00157873293949888,0.0472092075779181,0.00463434508046445,0,0.0192503564880831,0.000254634345080464,0,0,0,0.000967610511305765,0.00702790792422082,0,0.0186901609289061,0.00183336728457934,0.104196374006926,0.0036158077001426,0.000916683642289672,0,0.0675799551843553,0.000560195559177022,0,0,0,0.00193522102261153,0.0302505601955592,5.09268690160929e-05,0,0,0,0,0,0,0.000662049297209208,0,0,0,0,0,0,Normal
0,0,5.09268690160929e-05,0.00112039111835404,0.000203707476064372,0.462059482583011,5.09268690160929e-05,0.00280097779588511,0.000458341821144836,0.00336117335506213,0,0,0,0.0042778569973518,0.000662049297209208,0.0565288246078631,0,0.0425239356284376,0.000611122428193115,0,0,0.00168058667753107,5.09268690160929e-05,0.101242615603993,0,0.000458341821144836,0.00437971073538399,0,0,0,0.00524546750865757,0.0537787736809941,0.0386025667141984,0,0,0,0.0259217763291913,0.0169586473823589,0.0007129761662253,0,0.00672234671012426,0.000203707476064372,0.0400794459156651,0.000458341821144836,0,0.00162965980851497,0.0413526176410674,0.000101853738032186,0,0.0292320228152373,0.0415563251171318,0,0,0,0.00122224485638623,0,0,0.00825015278060705,0,0.00264819718883683,0,Normal
0,0,0,0,0,0.618150336117335,0,0.00463434508046445,0.00463434508046445,0,0,0,0,0.0101853738032186,0.00234263597474027,0.000509268690160929,0,0,0.00509268690160929,0,0,0.0419637400692605,0.0028519046649012,0,0.00331024648604604,0,0,5.09268690160929e-05,0,0,0,0.00122224485638623,0.151558362191892,0,0,0,0,0.0129863515991037,0.000305561214096557,0,0.0280607048278672,0,0,0,0,0,0.0996638826644938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
0,0,0.0129354247300876,0.00351395396211041,0.000101853738032186,0.517875331024649,0,0.00254634345080464,0.00157873293949888,0.0028519046649012,0,0,0,0.0112548380525565,0.00351395396211041,0.0278060704827867,0,0.0222041148910165,0.000407414952128743,0,0,5.09268690160929e-05,0.000560195559177022,0.0242921165206763,0,0,0.00656956610307598,0,0,0,0.00458341821144836,0.023579140354451,0.0368201262986352,0,0.00585658993685068,0,0.00611122428193115,0.00998166632715421,0.000254634345080464,0,0.0251069464249338,0,0.00437971073538399,0.000662049297209208,0,0.00183336728457934,0.0681401507435323,0.000101853738032186,0,0.0496536972906906,0.0292320228152373,0.017569769810552,0,0,0.0616215115094724,0,0,0.0130372784681198,0,0,0,Normal
0.000101853738032186,0,0.00035648808311265,0.00733346913831738,0.000101853738032186,0.276431045019352,5.09268690160929e-05,0.00254634345080464,0.00320839274801385,0.000101853738032186,0,0,0,0.00132409859441842,5.09268690160929e-05,0.0107964962314117,0,0,0.000662049297209208,5.09268690160929e-05,0,0.0993583214503972,0,0.214605826033815,0,0.000101853738032186,0.00967610511305765,0,0,0,0.000458341821144836,0.0120187410877979,0.00310653900998167,0,0.0201670401303728,0.103126909757588,0.0150234263597474,0.0345793440619271,0.00254634345080464,0,0.00412507639030352,0,0,0.000152780607048279,0,0.0129863515991037,0.0765940110002037,0.000458341821144836,0,0.0264310450193522,0.010440008148299,0,0,0,0.0211855775106946,0,0,5.09268690160929e-05,0,0,0,Normal
0,0,0,0.000560195559177022,0,0.391729476471787,0,0.00112039111835404,0.00203707476064372,0.00453249134243227,0,0,0,0.00422693012833571,0.000814829904257486,0.00218985536769199,0,0.00804644530454268,0.00315746587899776,5.09268690160929e-05,0,0.115400285190466,0.00035648808311265,0.129608881645956,0.0035648808311265,0,0.0508759421470768,0,0.0166530861682624,0,0.00325931961702995,0.0114585455286209,0.0189447952739866,0,0.0288755347321247,0.000101853738032186,0.0593298024037482,0.00366673456915869,0.00132409859441842,0,0.0290283153391729,0.00106946424933795,0,5.09268690160929e-05,0,0.00478712568751273,0.0392136891423915,0.000254634345080464,0,0.00687512731717254,0.00275005092686902,0,0,0,0.000509268690160929,0,0,0,0,0,0,Normal
0,0,0.00901405581584844,0.00035648808311265,0.000254634345080464,0.0946221226319006,0,0.0036158077001426,0.00198614789162762,0.00937054389896109,0,0.00173151354654716,0,0.00493990629456101,0.00259727031982074,0.00310653900998167,0,0.00891220207781626,0.00117131798737014,0.000305561214096557,5.09268690160929e-05,0.0049908331635771,0.000152780607048279,0.154002851904665,0,0.00101853738032186,0.0144123039315543,0.00239356284375637,0,0,0,0.0675290283153392,0.033968221633734,0,0.0173660623344877,0.114330820941129,0.0784273782847831,0.110562232633938,0.00947239763699328,0,0.00381951517620697,0,0.028519046649012,0.000662049297209208,5.09268690160929e-05,0.00239356284375637,0.0389590547973111,0.00443063760440008,0,0.0557649215726217,0.0608066816052149,0.000254634345080464,0.000101853738032186,0,0.0379914442860053,0,0,0,0.000101853738032186,0,0.00687512731717254,CRC
0,0,0.000305561214096557,0.000152780607048279,5.09268690160929e-05,0.344265634548788,0,0.00188429415359544,0.00468527194948055,0.00891220207781626,0,0,0,0.00239356284375637,0.00106946424933795,0.0130882053371359,0,0.000203707476064372,0.00157873293949888,0,0,0.000101853738032186,0.000101853738032186,0.122937461804848,0.000101853738032186,0.000152780607048279,0.0130372784681198,0,0.0107964962314117,0,0.00407414952128743,0.0281116316968833,0.0129863515991037,0,0.0220513342839682,0.189600733346914,0.0193522102261153,0.013699327765329,0.00035648808311265,0,0.0223568954980648,0,0,0.000763903035241393,0,0.000254634345080464,0.0300468527194948,0.000967610511305765,0,0.0413526176410674,0.0380932980240375,0,0,0.000152780607048279,0.0450702790792422,0,0.00035648808311265,0,0.000101853738032186,0,0,CRC
